wojewodztwo;0-2;3-6;7-12;13-15;16-18;19-24;25-29;30-34;35-39;40-44;45-49;50-59;60-64;65-69;70-79;80-89;90-99;100_lat_i_wiecej ;nieustalonym
Dolnoslaskie;76005;114084;212577;124733;149700;303181;222940;177335;176374;228601;258694;367348;120186;123433;196321;49233;6076;121;270
Kujawsko-pomorskie;61950;92837;171314;95317;111995;209532;157440;133837;131853;158384;168229;247985;84694;80395;120085;37424;5707;77;266
Lubelskie;65713;98469;185890;104687;121005;214912;157514;137066;137367;157868;168737;249954;94245;92862;156841;49118;6730;76;0
Lubuskie;29359;44616;82350;48427;56833;105714;77478;62520;62855;79773;87166;120826;37784;37974;57544;15394;2088;51;202
Lodzkie;67567;101847;190056;106808;125151;248728;191445;163243;159104;197736;222079;342445;114471;117253;194753;61604;8510;83;7
Malopolskie;102773;149558;273093;149806;167745;336313;249019;217124;212595;233451;236641;356805;135654;136438;204719;61210;9218;113;133
Mazowieckie;145568;210631;381766;214606;249182;502124;397534;331953;315646;378166;429130;618346;221862;226006;368847;113106;18478;189;878
Opolskie;28087;43319;82293;50449;57013;104127;79217;72633;76757;85211;83390;119525;52076;48315;63273;16814;2501;43;0
Podkarpackie;67841;102761;192798;109059;118831;208661;157785;138660;139025;153497;151407;219264;85596;85244;129957;37286;6082;79;4
Podlaskie;35049;54385;104583;59881;67312;114770;86029;78977;81734;92048;87901;125436;51911;51804;86602;25127;4845;141;71
Pomorskie;68964;99758;180467;102494;116642;222819;172012;143880;139550;164133;177649;257803;88617;84143;119292;35169;5538;115;855
Slaskie;123157;181598;346651;208348;241497;472951;354240;307728;319714;383847;400644;594989;237154;201309;276218;79619;11966;138;1106
Swietokrzyskie;35975;55490;105092;59215;69303;123158;91981;79149;79010;97187;104530;154447;56185;57585;94279;30494;3971;43;383
Warminsko-mazurskie;44635;67219;126162;72630;83043;146018;105820;90534;95009;114374;116101;155907;54548;53739;79010;20446;2995;81;86
Wielkopolskie;103176;151256;279081;158625;180521;351789;264411;220250;212342;250223;265588;399388;129693;124078;189285;62325;9706;111;67
Zachodniopomorskie;49024;72883;134930;76947;90431;174637;130330;105922;105531;134657;150388;211430;66158;67231;100022;24327;3095;80;191
