imie;plec;gr_nr
Klaudiusz;M;1
Agata;K;1
Patrycja;K;1
Kamil;M;1
Sylwia;K;1
Karol;M;1
£ukasz;M;1
Paulina;K;1
£ukasz;M;1
Alicja;K;1
Jaros³aw;M;1
Rados³aw;M;1
Bartosz;M;1
Piotr;M;1
Kamila;K;1
Mateusz;M;1
Justyna;K;1
Mariusz;M;1
Aleksandra;K;1
Piotr;M;1
Justyna;K;1
Micha³;M;1
Kinga;K;1
Mateusz;M;1
Marcin;M;1
Ma³gorzata;K;1
Karolina;K;1
Mateusz;M;1
Robert;M;1
Pawe³;M;2
Tadeusz;M;2
Bartosz;M;2
Piotr;M;2
Jan;M;2
Artur;M;2
Jakub;M;2
Tomasz;M;2
Marta;K;2
Dariusz;M;2
Bartosz;M;2
Aleksander;M;2
Ma³gorzata;K;2
Ma³gorzata;K;2
Krzysztof;M;2
Aleksandra;K;2
Patryk;M;2
Tomasz;M;2
Sylwia;K;2
Konrad;M;2
